"car_ID","symboling","wheelbase","carlength","carwidth","carheight","curbweight","enginesize","boreratio","stroke","compressionratio","horsepower","peakrpm","citympg","highwaympg","price"
"0","3","88.6","168.8","64.1","48.8","2548","130","3.47","2.68","9","111","5000","21","27","13495.6"
"1","3","88.6","168.8","64.1","48.8","2548","130","3.47","2.68","9","111","5000","21","27","16500.1"
"2","1","94.5","171.2","65.5","52.4","2823","152","2.68","3.47","9","154","5000","19","26","16500.7"
"3","2","99.8","176.6","66.2","54.3","2337","109","3.19","3.4","10","102","5500","24","30","13950.2"
"4","2","99.4","176.6","66.4","54.3","2824","136","3.19","3.4","8","115","5500","18","22","17450.8"
"5","2","99.8","177.3","66.3","53.1","2507","136","3.19","3.4","8.5","110","5500","19","25","15250.7"
"6","1","105.8","192.7","71.4","55.7","2844","136","3.19","3.4","8.5","110","5500","19","25","17710.14"
"7","1","105.8","192.7","71.4","55.7","2954","136","3.19","3.4","8.5","110","5500","19","25","18920.5"
"8","1","105.8","192.7","71.4","55.9","3086","131","3.13","3.4","8.3","140","5500","17","20","23875.7"
"9","0","99.5","178.2","67.9","52","3053","131","3.13","3.4","7","160","5500","16","22","17859.167"
"10","2","101.2","176.8","64.8","54.3","2395","108","3.5","2.8","8.8","101","5800","23","29","16430.3"
"11","0","101.2","176.8","64.8","54.3","2395","108","3.5","2.8","8.8","101","5800","23","29","16925.8"
"12","0","101.2","176.8","64.8","54.3","2710","164","3.31","3.19","9","121","4250","21","28","20970.8"
"13","0","101.2","176.8","64.8","54.3","2765","164","3.31","3.19","9","121","4250","21","28","21105.7"
"14","1","103.5","189","66.9","55.7","3055","164","3.31","3.19","9","121","4250","20","25","24565.4"
"15","0","103.5","189","66.9","55.7","3230","209","3.62","3.39","8","182","5400","16","22","30760.3"
"18","2","88.4","141.1","60.3","53.2","1488","61","2.91","3.03","9.5","48","5100","47","53","5151.4"
"19","1","94.5","155.9","63.6","52","1874","90","3.03","3.11","9.6","70","5400","38","43","6295.8"
"20","0","94.5","158.8","63.6","52","1909","90","3.03","3.11","9.6","70","5400","38","43","6575.9"
"21","1","93.7","157.3","63.8","50.8","1876","90","2.97","3.23","9.41","68","5500","37","41","5572.1"
"22","1","93.7","157.3","63.8","50.8","1876","90","2.97","3.23","9.4","68","5500","31","38","6377.7"
"23","1","93.7","157.3","63.8","50.8","2128","98","3.03","3.39","7.6","102","5500","24","30","7957.7"
"24","1","93.7","157.3","63.8","50.6","1967","90","2.97","3.23","9.4","68","5500","31","38","6229.6"
"25","1","93.7","157.3","63.8","50.6","1989","90","2.97","3.23","9.4","68","5500","31","38","6692.7"
"26","1","93.7","157.3","63.8","50.6","1989","90","2.97","3.23","9.4","68","5500","31","38","7609.7"
"27","1","93.7","157.3","63.8","50.6","2191","98","3.03","3.39","7.6","102","5500","24","30","8558.7"
"28","-1","103.3","174.6","64.6","59.8","2535","122","3.34","3.46","8.5","88","5000","24","30","8921.1"
"29","3","95.9","173.2","66.3","50.2","2811","156","3.6","3.9","7","145","5000","19","24","12964.2"
"30","2","86.6","144.6","63.9","50.8","1713","92","2.91","3.41","9.6","58","4800","49","54","6479.2"
"31","2","86.6","144.6","63.9","50.8","1819","92","2.91","3.41","9.2","76","6000","31","38","6855.55"
"32","1","93.7","150","64","52.6","1837","79","2.91","3.07","10.1","60","5500","38","42","5399.6"
"33","1","93.7","150","64","52.6","1940","92","2.91","3.41","9.2","76","6000","30","34","6529.6"
"34","1","93.7","150","64","52.6","1956","92","2.91","3.41","9.2","76","6000","30","34","7129.7"
"35","0","96.5","163.4","64","54.5","2010","92","2.91","3.41","9.2","76","6000","30","34","7295.7"
"36","0","96.5","157.1","63.9","58.3","2024","92","2.92","3.41","9.2","76","6000","30","34","7295.5"
"37","0","96.5","167.5","65.2","53.3","2236","110","3.15","3.58","9","86","5800","27","33","7895.22"
"38","0","96.5","167.5","65.2","53.3","2289","110","3.15","3.58","9","86","5800","27","33","9095.44"
"39","0","96.5","175.4","65.2","54.1","2304","110","3.15","3.58","9","86","5800","27","33","8845.15"
"40","0","96.5","175.4","62.5","54.1","2372","110","3.15","3.58","9","86","5800","27","33","10295.13"
"41","0","96.5","175.4","65.2","54.1","2465","110","3.15","3.58","9","101","5800","24","28","12945.33"
"42","1","96.5","169.1","66","51","2293","110","3.15","3.58","9.1","100","5500","25","31","10345.5"
"43","0","94.3","170.7","61.8","53.5","2337","111","3.31","3.23","8.5","78","4800","24","29","6785.5"
"44","1","94.5","155.9","63.6","52","1874","90","3.03","3.11","9.6","70","5400","38","43","8916.5"
"45","0","94.5","155.9","63.6","52","1909","90","3.03","3.11","9.6","70","5400","38","43","8916.5"
"46","2","96","172.6","65.2","51.4","2734","119","3.43","3.23","9.2","90","5000","24","29","11048.3"
"47","0","113","199.6","69.6","52.8","4066","258","3.63","4.17","8.1","176","4750","15","19","32250.3"
"48","0","113","199.6","69.6","52.8","4066","258","3.63","4.17","8.1","176","4750","15","19","35550.3"
"49","0","102","191.7","70.6","47.8","3950","326","3.54","2.76","11.5","262","5000","13","17","36000.3"
"50","1","93.1","159.1","64.2","54.1","1890","91","3.03","3.15","9","68","5000","30","31","5195.3"
"51","1","93.1","159.1","64.2","54.1","1900","91","3.03","3.15","9","68","5000","31","38","6095.4"
"52","1","93.1","159.1","64.2","54.1","1905","91","3.03","3.15","9","68","5000","31","38","6795.4"
"53","1","93.1","166.8","64.2","54.1","1945","91","3.03","3.15","9","68","5000","31","38","6695.44"
"54","1","93.1","166.8","64.2","54.1","1950","91","3.08","3.15","9","68","5000","31","38","7395.5"
"55","3","95.3","169","65.7","49.6","2380","70","3.33","3.255","9.4","101","6000","17","23","10945.6"
"56","3","95.3","169","65.7","49.6","2380","70","3.33","3.255","9.4","101","6000","17","23","11845.7"
"57","3","95.3","169","65.7","49.6","2385","70","3.33","3.255","9.4","101","6000","17","23","13645.7"
"58","3","95.3","169","65.7","49.6","2500","80","3.33","3.255","9.4","135","6000","16","23","15645.9"
"59","1","98.8","177.8","66.5","53.7","2385","122","3.39","3.39","8.6","84","4800","26","32","8845.88"
"60","0","98.8","177.8","66.5","55.5","2410","122","3.39","3.39","8.6","84","4800","26","32","8495.4"
"61","1","98.8","177.8","66.5","53.7","2385","122","3.39","3.39","8.6","84","4800","26","32","10595.12"
"62","0","98.8","177.8","66.5","55.5","2410","122","3.39","3.39","8.6","84","4800","26","32","10245.33"
"64","0","98.8","177.8","66.5","55.5","2425","122","3.39","3.39","8.6","84","4800","26","32","11245.47"
"65","0","104.9","175","66.1","54.4","2670","140","3.76","3.16","8","120","5000","19","27","18280.22"
"70","-1","115.6","202.6","71.7","56.3","3770","183","3.58","3.64","21.5","123","4350","22","25","31600.33"
"72","3","96.6","180.3","70.5","50.8","3685","234","3.46","3.1","8.3","155","4750","16","18","35056.6"
"73","0","120.9","208.1","71.7","56.7","3900","308","3.8","3.35","8","184","4500","14","16","40960.7"
"74","1","112","199.2","72","55.4","3715","304","3.8","3.35","8","184","4500","14","16","45400.7"
